Time,Load Cell,Moving Forward,Relay Output
782.0,0.01005823,0.0,1.72
859.0,0.01056616,0.0,2.064
937.0,0.00604567,0.0,1.72
1015.0,0.01046464,0.0,1.032
1094.0,0.02727694,0.0,2.064
1172.0,0.01838832,0.0,2.064
1250.0,0.01178521,0.0,2.064
1328.0,0.0183374,0.0,2.752
1406.0,0.01742323,0.0,2.064
1484.0,-0.01157951,0.0,2.064
1562.0,0.02270569,0.0,2.064
1640.0,-0.00269082,0.0,2.064
1718.0,0.0278357,0.0,2.064
1797.0,0.00259164,0.0,2.064
1875.0,0.01722003,0.0,2.064
1953.0,0.01102332,0.0,2.064
2031.0,0.00792501,0.0,2.408
2109.0,0.03601342,0.0,2.064
2187.0,-0.00223365,0.0,2.064
2265.0,0.0104138,0.0,2.064
2343.0,0.03545466,0.0,2.064
2422.0,0.02458495,0.0,2.064
2500.0,0.02839446,0.0,2.408
2578.0,0.02494051,0.0,2.064
2656.0,0.00949955,0.0,3.096
2734.0,0.01904861,0.0,2.752
2812.0,-0.00330027,0.0,2.064
2890.0,-0.01142707,0.0,2.064
2968.0,0.03037533,0.0,2.064
3046.0,0.0232643,0.0,2.064
3125.0,0.01762635,0.0,1.72
3203.0,0.02077551,0.0,2.064
3281.0,0.00690908,0.0,2.064
3359.0,0.02392466,0.0,2.064
3437.0,0.01635654,0.0,2.408
3515.0,0.02422946,0.0,1.72
3593.0,0.01975966,0.0,2.408
3671.0,0.00970267,0.0,2.064
3749.0,0.02336605,0.0,2.064
3828.0,0.0085853,0.0,2.408
3906.0,0.01635654,0.0,2.752
3984.0,-0.00030348,0.0,1.376
4062.0,-0.01203667,0.0,2.408
4140.0,0.01198841,0.0,2.064
4218.0,0.01564549,0.0,3.096
4296.0,0.01650898,0.0,2.752
4374.0,0.02047078,0.0,2.064
4452.0,0.00193135,0.0,1.72
4531.0,0.00960115,0.0,2.064
4609.0,0.00086474,0.0,1.72
4687.0,0.00127106,0.0,1.376
4765.0,0.00751861,0.0,2.064
4843.0,0.01722003,0.0,2.064
4921.0,0.00828057,0.0,2.752
4999.0,0.00822973,0.0,2.064
5078.0,0.00792501,0.0,2.064
5155.0,0.01503596,0.0,2.064
5234.0,0.01869304,0.0,2.064
5312.0,0.01935333,0.0,2.064
5390.0,0.00822973,0.0,1.72
5468.0,0.02270569,0.0,2.064
5546.0,0.02184212,0.0,2.064
5624.0,0.0301722,0.0,2.064
5702.0,0.02463579,0.0,3.096
5781.0,0.01061692,0.0,2.064
5859.0,0.02250241,0.0,2.064
5937.0,0.01361371,0.0,1.72
6015.0,0.01808359,0.0,2.064
6093.0,-0.00634782,0.0,1.72
6171.0,0.03672447,0.0,2.064
6249.0,0.01361371,0.0,2.064
6327.0,0.01523901,0.0,2.064
6405.0,0.00619803,0.0,2.752
6484.0,0.02524524,0.0,2.064
6562.0,0.01523901,0.0,2.064
6640.0,0.02006446,0.0,1.72
6718.0,0.01788032,0.0,2.064
6796.0,0.03545466,0.0,1.376
6874.0,0.01874388,0.0,2.064
6952.0,0.01148049,0.0,2.064
7030.0,0.00695992,0.0,2.064
7108.0,0.01300426,0.0,2.752
7186.0,0.0183374,0.0,2.064
7265.0,0.00533447,0.0,2.064
7343.0,0.02499135,0.0,2.064
7421.0,0.00381069,0.0,1.72
7499.0,0.00249011,0.0,2.064
7577.0,-0.00340187,0.0,1.376
7655.0,0.00188059,0.0,2.064
7733.0,-0.00451932,0.0,2.064
7811.0,-0.01259536,0.0,3.44
7890.0,0.01031212,0.0,2.064
7968.0,0.01173437,0.0,2.064
8046.0,0.01239466,0.0,2.064
8124.0,0.01889617,0.0,2.064
8202.0,0.014274,0.0,2.064
8280.0,0.01046464,0.0,2.064
8358.0,0.01828664,0.0,2.064
8436.0,0.01518833,0.0,2.064
8515.0,0.01569625,0.0,2.064
8593.0,0.03469277,0.0,2.408
8671.0,-0.00350339,0.0,2.064
8749.0,0.01407088,0.0,2.064
8827.0,0.02387382,0.0,1.72
8905.0,0.0301722,0.0,1.72
8983.0,0.02707389,0.0,2.752
9061.0,0.01696607,0.0,2.064
9139.0,0.00975351,0.0,1.72
9218.0,0.02555011,0.0,2.064
9296.0,0.02438175,0.0,1.72
