Time,Load Cell,Moving Forward,Relay Output
838.0,0.07106036,0.0,2.064
916.0,0.06720015,0.0,2.064
994.0,0.08558707,0.0,1.376
1072.0,0.07664753,0.0,2.064
1150.0,0.06400016,0.0,1.376
1228.0,0.06181602,0.0,2.064
1306.0,0.06130825,0.0,1.72
1384.0,0.07994905,0.0,2.064
1462.0,0.07075563,0.0,2.064
1541.0,0.07644441,0.0,2.064
1619.0,0.06775884,0.0,2.064
1697.0,0.0848761,0.0,2.064
1775.0,0.06999374,0.0,1.72
1853.0,0.06780968,0.0,1.72
1931.0,0.05546703,0.0,2.064
2009.0,0.06273035,0.0,2.408
2087.0,0.06242562,0.0,2.064
2165.0,0.07344762,0.0,2.064
2244.0,0.05577175,0.0,1.72
2322.0,0.08634903,0.0,2.064
2400.0,0.06267951,0.0,2.408
2478.0,0.08538394,0.0,1.72
2556.0,0.08264119,0.0,1.376
2634.0,0.09010772,0.0,2.064
2712.0,0.08391093,0.0,1.72
2790.0,0.08279348,0.0,2.064
2868.0,0.06973978,0.0,2.064
2947.0,0.09635518,0.0,1.376
3025.0,0.08223487,0.0,2.408
3103.0,0.07329533,0.0,2.064
3181.0,0.10493916,0.0,2.064
3259.0,0.07151752,0.0,2.064
3337.0,0.03880694,0.0,2.064
3415.0,0.0865014,0.0,2.064
3493.0,0.07131432,0.0,2.064
3571.0,0.07700317,0.0,2.064
3650.0,0.09925045,0.0,2.064
3728.0,0.07009535,0.0,2.064
3806.0,0.08990451,0.0,2.408
3884.0,0.06852073,0.0,2.064
3962.0,0.08309828,0.0,2.752
4040.0,0.05597488,0.0,2.064
4118.0,0.06293355,0.0,2.064
4196.0,0.07055251,0.0,2.064
4274.0,0.06867317,0.0,2.064
4353.0,0.07263497,0.0,1.376
4431.0,0.07248253,0.0,1.72
4509.0,0.05429874,0.0,2.064
4587.0,0.08802518,0.0,3.096
4665.0,0.07532696,0.0,2.064
4743.0,0.07466667,0.0,1.72
4821.0,0.07354922,0.0,2.064
4900.0,0.07873008,0.0,2.064
4977.0,0.07100959,0.0,2.752
5056.0,0.06867317,0.0,2.064
5134.0,0.07441271,0.0,2.064
5212.0,0.06074949,0.0,2.064
5290.0,0.06780968,0.0,2.064
5368.0,0.0825396,0.0,2.064
5446.0,0.08055866,0.0,2.064
5524.0,0.09716791,0.0,2.064
5603.0,0.08690772,0.0,3.44
5681.0,0.07695234,0.0,1.72
5759.0,0.08319988,0.0,2.752
5837.0,0.08441893,0.0,2.064
5915.0,0.07883168,0.0,2.064
5993.0,0.06846996,0.0,2.064
6071.0,0.07161912,0.0,2.064
6149.0,0.07669845,0.0,1.72
6227.0,0.08274272,0.0,2.064
6306.0,0.06887629,0.0,2.064
6384.0,0.07751103,0.0,1.376
6462.0,0.05856542,0.0,2.064
6540.0,0.07492064,0.0,1.72
6618.0,0.05942891,0.0,2.064
6696.0,0.09909794,0.0,2.064
6774.0,0.06872393,0.0,3.096
6852.0,0.04947337,0.0,2.064
6930.0,0.08106658,0.0,1.72
7009.0,0.07451431,0.0,2.064
7087.0,0.04408939,0.0,2.064
7165.0,0.06374627,0.0,1.376
7243.0,0.06069865,0.0,2.064
7321.0,0.07740942,0.0,2.064
7399.0,0.06496533,0.0,2.064
7477.0,0.06400016,0.0,1.72
7555.0,0.0747682,0.0,1.72
7634.0,0.07268573,0.0,1.72
7712.0,0.06349231,0.0,1.376
7790.0,0.05947959,0.0,1.72
7868.0,0.06994291,0.0,1.72
7946.0,0.09960601,0.0,2.064
8024.0,0.07426035,0.0,2.064
8102.0,0.068216,0.0,1.72
8180.0,0.07100959,0.0,2.064
8258.0,0.08817761,0.0,1.72
8337.0,0.07857779,0.0,1.72
8415.0,0.05287649,0.0,1.72
8493.0,0.07725706,0.0,1.72
8571.0,0.0842665,0.0,1.72
8649.0,0.05358769,0.0,2.064
8727.0,0.07893335,0.0,2.064
8805.0,0.07873008,0.0,1.72
8883.0,0.06100345,0.0,1.376
8961.0,0.08243799,0.0,1.376
9040.0,0.06633666,0.0,1.032
9118.0,0.06755572,0.0,1.376
9196.0,0.07908564,0.0,1.376
9274.0,0.06186694,0.0,1.376
9352.0,0.08939659,0.0,1.376
9430.0,0.07939036,0.0,1.376
9508.0,0.09645678,0.0,1.376
9586.0,0.07156835,0.0,1.376
9664.0,0.06618423,0.0,1.376
9743.0,0.04307354,0.0,1.376
9821.0,0.06491441,0.0,1.72
9899.0,0.07878084,0.0,1.376
9977.0,0.06973978,0.0,1.72
10055.0,0.06425413,0.0,2.064
10133.0,0.07080632,0.0,2.064
10211.0,0.07593649,0.0,1.032
10289.0,0.05714317,0.0,2.064
10367.0,0.06298438,0.0,2.064
10446.0,0.0848761,0.0,2.408
10524.0,0.07568252,0.0,2.064
10602.0,0.07233024,0.0,2.408
10680.0,0.07400631,0.0,2.752
10758.0,0.05785429,0.0,1.72
10836.0,0.06288271,0.0,1.376
10914.0,0.07080632,0.0,2.408
10992.0,0.04871156,0.0,1.72
11070.0,0.07837459,0.0,3.44
11149.0,0.05754957,0.0,2.064
11227.0,0.06948575,0.0,2.064
11305.0,0.05846374,0.0,2.064
11383.0,0.0633398,0.0,2.752
11461.0,0.07679997,0.0,1.376
11539.0,0.07898404,0.0,1.376
11617.0,0.08243799,0.0,1.376
11696.0,0.07187308,0.0,1.376
11773.0,0.06410176,0.0,1.376
11852.0,0.06730168,0.0,1.376
11930.0,0.07466667,0.0,1.376
12008.0,0.05008297,0.0,1.376
12086.0,0.06836844,0.0,1.72
12164.0,0.05460354,0.0,1.72
12242.0,0.06003836,0.0,1.72
12320.0,0.07837459,0.0,1.72
12398.0,0.08553638,0.0,1.72
12477.0,0.05318137,0.0,1.72
12555.0,0.05800666,0.0,1.72
12633.0,0.05668608,0.0,1.72
12711.0,0.07400631,0.0,1.72
12789.0,0.07639372,0.0,1.72
12867.0,0.11113586,0.0,2.752
12945.0,0.0639494,0.0,2.752
13023.0,0.04043232,0.0,2.408
13101.0,0.08132054,0.0,2.752
13180.0,0.04754335,0.0,2.752
13258.0,0.05633052,0.0,2.752
13336.0,0.0707048,0.0,2.408
13414.0,0.0619177,0.0,2.408
13492.0,0.07918724,0.0,2.408
13570.0,0.06450816,0.0,2.408
13648.0,0.07801902,0.0,2.064
13726.0,0.06643819,0.0,2.408
13805.0,0.06938422,0.0,1.376
13883.0,0.05556855,0.0,1.032
13961.0,0.06902873,0.0,1.72
14039.0,0.06892713,0.0,2.064
14117.0,0.06521914,0.0,1.72
14195.0,0.07095883,0.0,2.064
14273.0,0.06593034,0.0,1.72
14351.0,0.08142214,0.0,2.064
14429.0,0.09274894,0.0,2.064
14508.0,0.0752762,0.0,2.064
14586.0,0.07273657,0.0,2.064
14664.0,0.07654594,0.0,2.064
14742.0,0.05719393,0.0,1.376
14820.0,0.07360006,0.0,2.064
14898.0,0.07360006,0.0,2.064
14976.0,0.06318751,0.0,1.376
15054.0,0.05876854,0.0,2.064
15133.0,0.06059705,0.0,1.376
15211.0,0.05495903,0.0,2.408
15289.0,0.06948575,0.0,1.72
15367.0,0.06054628,0.0,1.376
15445.0,0.07329533,0.0,1.376
15523.0,0.07598725,0.0,1.376
15601.0,0.07243185,0.0,2.408
15679.0,0.05836222,0.0,2.752
15757.0,0.06872393,0.0,2.408
15836.0,0.0662859,0.0,2.064
15914.0,0.06166381,0.0,2.064
15992.0,0.09605038,0.0,2.408
16070.0,0.07969517,0.0,2.064
16148.0,0.05556855,0.0,2.064
