Time,Load Cell,Moving Forward,Relay Output
781.0,-0.00549293,0.0,2.064
859.0,0.00603707,0.0,2.064
937.0,0.00380217,0.0,2.064
1015.0,0.00893226,0.0,2.064
1093.0,0.01848132,0.0,2.064
1171.0,0.01086229,0.0,2.064
1249.0,0.00522442,0.0,2.064
1328.0,0.00344661,0.0,2.064
1406.0,0.00629103,0.0,2.064
1484.0,0.00075462,0.0,2.064
1562.0,0.01578933,0.0,2.064
1640.0,-0.00650878,0.0,2.064
1718.0,0.02310341,0.0,2.064
1796.0,0.02015746,0.0,2.752
1874.0,0.00349737,0.0,2.064
1953.0,0.01741471,0.0,2.064
2031.0,0.01934474,0.0,2.064
2109.0,0.0013133,0.0,2.064
2187.0,-0.01250221,0.0,2.064
2265.0,0.01177661,0.0,2.064
2343.0,-0.00127709,0.0,1.72
2421.0,0.01076076,0.0,1.72
2499.0,-0.00828659,0.0,2.064
2578.0,0.00481802,0.0,1.72
2656.0,0.01172593,0.0,2.064
2734.0,-0.00630558,0.0,1.72
2812.0,0.02569388,0.0,1.376
2890.0,-0.01057218,0.0,2.064
2968.0,-0.01991804,0.0,2.408
3046.0,0.0128433,0.0,2.064
3124.0,0.00258319,0.0,2.064
3202.0,0.00268479,0.0,2.064
3280.0,0.01218302,0.0,2.064
3359.0,0.01223378,0.0,2.064
3437.0,0.03062077,0.0,2.064
3515.0,-0.00686434,0.0,1.72
3593.0,0.01843056,0.0,1.72
3671.0,-0.01189276,0.0,2.064
3749.0,0.02345898,0.0,2.064
3827.0,0.01045604,0.0,2.064
3905.0,-0.00549293,0.0,2.064
3984.0,-0.01118163,0.0,2.064
4062.0,0.01898932,0.0,2.752
4140.0,0.00507206,0.0,2.064
4218.0,-0.0004136,0.0,2.064
4296.0,0.00969408,0.0,2.064
4374.0,0.00055142,0.0,1.72
4452.0,0.01411312,0.0,1.72
4530.0,0.01299567,0.0,1.72
4608.0,0.01695755,0.0,1.72
4687.0,0.00806877,0.0,2.064
4765.0,0.01888757,0.0,2.408
4843.0,-0.00762623,0.0,2.064
4921.0,0.0179734,0.0,2.064
4999.0,0.01167509,0.0,2.408
5077.0,0.0085767,0.0,1.032
5155.0,0.00370057,0.0,2.064
5233.0,0.00324356,0.0,2.408
5311.0,0.00903379,0.0,2.064
5389.0,-0.00808332,0.0,2.064
5468.0,0.00207519,0.0,2.064
5546.0,0.00385301,0.0,2.064
5624.0,0.01111633,0.0,2.064
5702.0,-0.0009216,0.0,2.064
5780.0,-0.00320719,0.0,1.376
5858.0,0.02178284,0.0,2.064
5936.0,0.00598623,0.0,2.064
6015.0,-0.00696594,0.0,2.064
6093.0,-0.01128323,0.0,2.064
6171.0,0.00278632,0.0,2.064
6249.0,0.0179734,0.0,2.408
6327.0,0.00202451,0.0,2.408
6405.0,0.02356058,0.0,2.408
6483.0,-0.00534049,0.0,1.72
6561.0,0.03123022,0.0,2.064
6639.0,-0.00462944,0.0,2.064
6718.0,0.01015131,0.0,1.72
6796.0,0.01462097,0.0,2.064
6874.0,0.0174654,0.0,2.064
6952.0,-0.01783558,0.0,1.72
7030.0,0.00969408,0.0,2.064
7108.0,0.0110148,0.0,1.72
7186.0,0.01934474,0.0,3.44
7264.0,-0.00549293,0.0,2.064
7342.0,0.01975114,0.0,1.72
7421.0,-0.00305482,0.0,2.064
7499.0,-0.0122484,0.0,2.064
7577.0,0.00446253,0.0,1.72
7655.0,0.00999888,0.0,2.064
7733.0,0.00070385,0.0,2.064
7811.0,0.01538293,0.0,2.064
7889.0,-0.00066756,0.0,2.408
7967.0,0.01335123,0.0,1.72
8045.0,0.01187829,0.0,2.064
8124.0,-0.00396915,0.0,2.064
8202.0,0.01401152,0.0,2.064
8280.0,0.01137037,0.0,2.064
8358.0,0.01934474,0.0,2.064
8436.0,0.01360512,0.0,2.064
8514.0,0.01436716,0.0,2.064
8592.0,0.01258934,0.0,2.408
8670.0,0.00502115,0.0,2.064
8749.0,-0.00473096,0.0,1.72
8827.0,0.00090698,0.0,2.064
8905.0,0.03321123,0.0,1.72
8983.0,0.00959255,0.0,2.064
9061.0,-0.0025469,0.0,1.72
9139.0,0.00364981,0.0,2.064
9217.0,-0.01240068,0.0,2.064
9295.0,0.00852594,0.0,2.064
9373.0,0.0311287,0.0,2.064
9451.0,0.01035451,0.0,2.064
9530.0,0.00116102,0.0,2.064
9608.0,0.01289414,0.0,2.064
9686.0,0.00862754,0.0,2.064
9764.0,-0.00117548,0.0,2.064
9842.0,0.01355443,0.0,2.064
9920.0,0.01350359,0.0,2.408
9998.0,0.00690049,0.0,2.064
10077.0,-0.00203897,0.0,2.064
10155.0,0.00751001,0.0,2.752
10233.0,-0.00381671,0.0,2.064
10311.0,-0.02941634,0.0,2.408
10389.0,0.0110148,0.0,2.064
10467.0,0.01832896,0.0,2.064
10545.0,-0.00396915,0.0,1.72
10623.0,0.01868445,0.0,1.72
10701.0,0.00994811,0.0,2.408
10780.0,0.01782096,0.0,2.064
10858.0,0.01416388,0.0,2.064
10936.0,0.01655122,0.0,2.064
11014.0,0.02117339,0.0,2.064
11092.0,0.01203065,0.0,2.064
11170.0,-0.00153105,0.0,3.096
11248.0,0.02290029,0.0,3.096
11326.0,-0.00630558,0.0,2.752
11404.0,0.0091863,0.0,2.752
11483.0,0.02340814,0.0,2.752
11561.0,0.02467803,0.0,2.752
11639.0,0.00720529,0.0,2.752
11717.0,0.01441792,0.0,2.408
11795.0,0.00497038,0.0,2.408
11873.0,0.00436086,0.0,2.408
11951.0,-0.00859132,0.0,2.752
12029.0,0.01457028,0.0,2.408
12107.0,0.0259986,0.0,2.752
12186.0,-0.02454021,0.0,2.408
12264.0,0.00532595,0.0,2.408
12342.0,0.00933851,0.0,2.408
12420.0,0.00161803,0.0,2.064
12498.0,0.00766237,0.0,2.064
12576.0,0.0085767,0.0,2.408
12654.0,9.425e-05,0.0,2.408
12732.0,0.03077313,0.0,2.064
12810.0,-0.00224217,0.0,2.408
12889.0,0.01426541,0.0,2.064
12967.0,0.00751001,0.0,1.72
13045.0,0.01355443,0.0,2.064
13123.0,0.01406236,0.0,2.064
13201.0,0.02706529,0.0,2.064
13279.0,0.0178718,0.0,2.064
13357.0,-0.00483264,0.0,2.064
13435.0,-0.00076916,0.0,2.064
13514.0,0.00171963,0.0,2.064
13592.0,0.00542762,0.0,2.064
13670.0,0.01614475,0.0,2.064
13748.0,0.00954171,0.0,2.064
13826.0,0.02249396,0.0,2.408
13904.0,-0.00569605,0.0,2.752
13982.0,0.01690671,0.0,3.096
14060.0,0.00781481,0.0,3.096
14138.0,0.01548446,0.0,3.096
14216.0,-0.00686434,0.0,2.752
14295.0,-0.00071832,0.0,2.752
14373.0,0.01812576,0.0,2.752
14451.0,0.02665889,0.0,2.752
14529.0,0.02274785,0.0,2.408
14607.0,0.01142105,0.0,2.408
14685.0,-0.00640725,0.0,2.408
14763.0,0.02543999,0.0,2.408
14842.0,0.01589093,0.0,2.408
14920.0,0.01827812,0.0,2.408
14998.0,-0.00356275,0.0,2.408
15076.0,0.00827197,0.0,2.408
15154.0,0.02010662,0.0,2.064
15232.0,0.00222763,0.0,2.408
15310.0,-0.00153105,0.0,2.064
