Time,Load Cell,Moving Forward,Relay Output
792.0,0.01472264,0.0,2.752
856.0,0.03056993,0.0,2.408
935.0,0.00608791,0.0,1.72
1013.0,0.01385915,0.0,2.064
1091.0,0.03884918,0.0,1.72
1169.0,0.01157349,0.0,2.064
1247.0,0.00730696,0.0,2.064
1325.0,0.02102095,0.0,2.064
1403.0,0.01416388,0.0,3.44
1481.0,0.03255087,0.0,2.064
1559.0,-0.00732143,0.0,2.064
1637.0,0.02960492,0.0,2.408
1716.0,0.02792878,0.0,3.096
1794.0,-0.00930229,0.0,2.064
1872.0,0.02924936,0.0,1.376
1950.0,0.02940172,0.0,2.064
2028.0,0.01584002,0.0,2.064
2106.0,0.00979575,0.0,2.064
2184.0,0.02168124,0.0,1.72
2262.0,0.04504596,0.0,2.064
2340.0,0.00151651,0.0,1.72
2419.0,0.01380839,0.0,2.064
2497.0,0.00766237,0.0,1.72
2575.0,0.00182131,0.0,2.064
2653.0,0.00522442,0.0,1.72
2731.0,0.02279869,0.0,2.064
2809.0,0.00811954,0.0,2.064
2887.0,0.00547831,0.0,2.064
2966.0,0.017567,0.0,1.72
3044.0,0.02650653,0.0,2.064
3122.0,0.02650653,0.0,2.064
3200.0,0.02330661,0.0,2.064
3278.0,0.00400537,0.0,1.376
3356.0,0.0199035,0.0,2.064
3434.0,-0.01168963,0.0,1.376
3512.0,0.00791641,0.0,2.752
3590.0,0.01644962,0.0,1.376
3669.0,-0.00981037,0.0,1.72
3747.0,0.01822728,0.0,2.064
3825.0,0.01213218,0.0,2.064
3903.0,0.01944634,0.0,2.064
3981.0,0.01721151,0.0,2.064
4059.0,0.02696369,0.0,2.408
4137.0,0.03036673,0.0,2.064
4215.0,0.02097019,0.0,2.064
4293.0,0.02046219,0.0,2.408
4371.0,0.00852594,0.0,2.064
4450.0,0.02010662,0.0,2.752
4528.0,0.01203065,0.0,2.408
4606.0,0.00852594,0.0,2.064
4684.0,-0.00071832,0.0,2.064
4762.0,0.00476733,0.0,2.064
4840.0,0.02853831,0.0,2.408
4918.0,0.02127491,0.0,2.064
4996.0,0.01853208,0.0,2.064
5074.0,0.04916005,0.0,2.064
5153.0,0.02427178,0.0,2.064
5231.0,0.03590323,0.0,2.064
5309.0,0.02523679,0.0,2.408
5387.0,0.02650653,0.0,1.72
5465.0,0.01299567,0.0,2.064
5543.0,0.00502115,0.0,2.064
5621.0,0.02274785,0.0,2.064
5700.0,0.02858907,0.0,2.064
5778.0,0.02513519,0.0,2.064
5856.0,0.02538908,0.0,2.064
5934.0,0.03351604,0.0,1.376
6012.0,0.02899547,0.0,2.064
6090.0,0.00949103,0.0,2.064
6168.0,0.01863368,0.0,2.408
6246.0,0.00055142,0.0,2.064
6324.0,0.02808114,0.0,1.72
6403.0,0.02803031,0.0,2.064
6481.0,0.01685595,0.0,2.064
6559.0,0.01644962,0.0,2.064
6637.0,0.02356058,0.0,2.408
6715.0,0.04143964,0.0,2.064
6793.0,0.00893226,0.0,2.064
6871.0,0.02630333,0.0,2.064
6949.0,0.00832266,0.0,2.064
7027.0,0.03062077,0.0,2.064
7105.0,0.02290029,0.0,2.064
7184.0,0.02691293,0.0,2.408
7262.0,0.02808114,0.0,2.064
7340.0,0.01660198,0.0,2.064
7418.0,0.0334652,0.0,2.064
7496.0,0.01710998,0.0,2.752
7574.0,0.02848739,0.0,2.064
7652.0,0.02442399,0.0,1.376
7731.0,0.0045133,0.0,2.064
7809.0,0.04865228,0.0,2.064
7887.0,0.00964331,0.0,2.064
7965.0,0.02198596,0.0,2.064
8043.0,0.02914783,0.0,1.72
8121.0,0.03173822,0.0,2.064
8199.0,0.01431624,0.0,2.064
8277.0,0.02914783,0.0,2.064
8355.0,0.01482417,0.0,2.064
8433.0,0.00756085,0.0,2.752
8512.0,0.03615719,0.0,2.408
8590.0,0.01253858,0.0,2.064
8668.0,0.01507821,0.0,2.064
8746.0,0.00608791,0.0,2.064
8824.0,0.02086851,0.0,2.752
8902.0,0.01594169,0.0,2.064
8980.0,0.03849361,0.0,1.72
9058.0,0.02833518,0.0,2.064
9136.0,0.01289414,0.0,2.408
9215.0,0.02025906,0.0,2.064
9293.0,0.02874143,0.0,2.064
9371.0,0.00847518,0.0,1.72
9449.0,0.02731926,0.0,1.032
9527.0,0.04083012,0.0,1.72
9605.0,0.00730696,0.0,1.376
9683.0,0.01010048,0.0,1.72
9761.0,0.00420857,0.0,1.72
9839.0,0.01710998,0.0,1.376
9918.0,0.0132497,0.0,1.72
9996.0,0.01203065,0.0,2.408
10074.0,0.0110148,0.0,1.376
10152.0,-0.0070167,0.0,1.72
10230.0,0.02650653,0.0,1.72
10308.0,0.01238622,0.0,2.408
10386.0,0.00903379,0.0,1.72
10465.0,0.02097019,0.0,2.064
10543.0,0.0198019,0.0,1.72
10621.0,0.01365595,0.0,2.408
10699.0,0.00111018,0.0,1.72
10777.0,0.02716682,0.0,2.064
10855.0,0.04565541,0.0,1.376
10933.0,0.02858907,0.0,1.376
11011.0,0.0085767,0.0,1.376
11089.0,0.01309727,0.0,1.376
11168.0,0.01197982,0.0,1.376
11246.0,0.0393571,0.0,1.376
11324.0,0.03021445,0.0,1.376
11402.0,0.01223378,0.0,1.376
11480.0,0.01924313,0.0,1.72
11558.0,0.02676057,0.0,1.376
11636.0,0.03199219,0.0,1.72
11714.0,0.03376992,0.0,1.72
11792.0,0.02604937,0.0,1.72
11871.0,0.00517358,0.0,1.72
11949.0,0.01431624,0.0,1.72
12027.0,0.01462097,0.0,1.72
12105.0,0.03250011,0.0,2.408
12183.0,0.01050688,0.0,2.752
12261.0,0.00583387,0.0,2.752
12339.0,0.00232923,0.0,2.752
12417.0,-0.00219134,0.0,2.752
12496.0,0.01477348,0.0,2.408
12574.0,0.02274785,0.0,2.408
12652.0,0.00903379,0.0,2.752
12730.0,0.00232923,0.0,2.408
12808.0,0.02493207,0.0,2.752
12886.0,0.02163048,0.0,2.408
12964.0,0.0203099,0.0,2.752
13042.0,0.00959255,0.0,2.408
13120.0,0.02472879,0.0,2.408
13199.0,0.00954171,0.0,2.064
13277.0,0.0199035,0.0,2.064
13355.0,0.00314188,0.0,2.408
13433.0,0.03351604,0.0,2.408
13511.0,0.01096396,0.0,2.064
13589.0,0.01604322,0.0,2.064
13667.0,0.01340199,0.0,2.064
13745.0,0.01091313,0.0,1.72
13823.0,0.02884303,0.0,2.064
13902.0,0.02239244,0.0,2.064
13980.0,0.03712228,0.0,2.064
14058.0,0.0259986,0.0,2.064
14136.0,0.01137037,0.0,2.064
14214.0,0.02259549,0.0,2.064
14292.0,0.03224615,0.0,1.376
14370.0,0.03087481,0.0,1.72
14448.0,0.00964331,0.0,2.064
14526.0,-0.00168349,0.0,2.064
14605.0,0.02183367,0.0,2.064
14683.0,0.02264625,0.0,1.72
14761.0,0.00319264,0.0,2.064
14839.0,0.0239669,0.0,2.064
14917.0,0.02899547,0.0,2.064
14995.0,0.00202451,0.0,2.064
15073.0,0.0108116,0.0,2.064
15151.0,0.02569388,0.0,2.064
15229.0,0.00024669,0.0,1.72
15308.0,0.02107171,0.0,1.72
15386.0,0.01710998,0.0,2.064
15464.0,0.02066539,0.0,2.064
15542.0,0.00847518,0.0,1.72
15620.0,0.01914161,0.0,2.064
15698.0,0.00949103,0.0,2.064
15776.0,0.02787794,0.0,1.72
15854.0,0.01345283,0.0,2.064
15933.0,0.00364981,0.0,2.064
16011.0,0.01355443,0.0,2.064
16089.0,0.02843671,0.0,2.064
16167.0,0.01741471,0.0,1.72
16245.0,0.01523057,0.0,2.064
16323.0,0.01710998,0.0,2.064
16401.0,0.0108116,0.0,2.064
16479.0,0.02747154,0.0,2.064
16557.0,0.02330661,0.0,2.064
16636.0,0.01299567,0.0,1.72
16714.0,0.00304028,0.0,1.72
16792.0,0.00405613,0.0,2.064
16870.0,0.02589708,0.0,2.064
16948.0,0.01985274,0.0,2.408
17026.0,0.00481802,0.0,1.72
17104.0,0.02452566,0.0,2.064
17182.0,0.02361142,0.0,1.72
17261.0,0.026405,0.0,1.72
17339.0,0.0238653,0.0,2.064
17417.0,0.02726842,0.0,1.376
17495.0,0.00735765,0.0,2.408
17573.0,0.01827812,0.0,1.72
17651.0,0.01055756,0.0,2.064
17729.0,0.03041765,0.0,1.032
17807.0,0.00756085,0.0,1.72
17885.0,0.01390999,0.0,2.064
17964.0,0.04342066,0.0,2.064
18042.0,0.02853831,0.0,2.408
18120.0,0.02574472,0.0,2.064
