Time,Load Cell,Moving Forward
879.0,-0.00705895,0.0
927.0,-0.00517961,0.0
1005.0,-0.00888745,0.0
1083.0,-0.00157329,0.0
1161.0,0.00863598,0.0
1239.0,-0.00055744,0.0
1317.0,-0.01015734,0.0
1396.0,-0.00228434,0.0
1474.0,-0.02874745,0.0
1552.0,-0.00467168,0.0
1630.0,0.00939787,0.0
1708.0,-0.01168111,0.0
1786.0,0.00111878,0.0
1864.0,-0.00020188,0.0
1942.0,0.00157586,0.0
2021.0,-0.008278,0.0
2099.0,-0.00248762,0.0
2177.0,0.0036584,0.0
2255.0,0.00492814,0.0
2333.0,-0.01442394,0.0
2411.0,-0.00690651,0.0
2489.0,-0.00228434,0.0
2567.0,0.00208379,0.0
2645.0,-0.02387132,0.0
2724.0,0.00629956,0.0
2802.0,-0.00131933,0.0
2880.0,0.00137259,0.0
2958.0,-0.00507801,0.0
3036.0,0.01554389,0.0
3114.0,-0.00431612,0.0
3192.0,-0.0104113,0.0
3270.0,0.01066776,0.0
3349.0,0.02361993,0.0
3427.0,0.00381069,0.0
3505.0,0.00254088,0.0
3583.0,0.00553774,0.0
3661.0,0.02473731,0.0
3739.0,0.00218531,0.0
3817.0,0.00797569,0.0
3895.0,-0.00837952,0.0
3974.0,0.00289644,0.0
4052.0,-0.00106529,0.0
4130.0,0.00670596,0.0
4208.0,-0.01924916,0.0
4286.0,0.00208379,0.0
4364.0,0.01920089,0.0
4442.0,0.00076314,0.0
4520.0,0.00254088,0.0
4598.0,-0.00131933,0.0
4676.0,0.00289644,0.0
4755.0,-0.01366198,0.0
4833.0,0.00259164,0.0
4911.0,-0.01366198,0.0
4989.0,-0.00629706,0.0
5067.0,0.00243935,0.0
5145.0,-0.00868425,0.0
5223.0,0.02565164,0.0
5301.0,-0.00670338,0.0
5379.0,0.00421717,0.0
5458.0,0.00746777,0.0
5536.0,-0.02011264,0.0
5614.0,0.00025529,0.0
5692.0,-0.01721753,0.0
5770.0,0.00061078,0.0
5848.0,0.00208379,0.0
5926.0,-0.02493809,0.0
6004.0,0.03068005,0.0
6083.0,-0.01274765,0.0
6161.0,-0.01874131,0.0
6239.0,0.00452189,0.0
6317.0,0.01559465,0.0
6395.0,0.01381691,0.0
6473.0,-0.00837952,0.0
6551.0,0.0007123,0.0
6629.0,-0.00670338,0.0
6708.0,0.00066154,0.0
6786.0,-0.0107161,0.0
6864.0,-0.00279234,0.0
6942.0,-0.01538895,0.0
7020.0,0.00462342,0.0
7098.0,-0.00050675,0.0
7176.0,0.01737239,0.0
7254.0,-0.01356045,0.0
7332.0,-0.00172565,0.0
7410.0,0.0030488,0.0
7489.0,0.00375993,0.0
7567.0,0.00309964,0.0
7645.0,-0.000405,0.0
7723.0,0.00213455,0.0
7801.0,0.00736624,0.0
7879.0,0.01904861,0.0
7957.0,0.00680748,0.0
8035.0,0.01117561,0.0
8113.0,-0.00858272,0.0
8192.0,0.02514364,0.0
8270.0,-0.02209358,0.0
8348.0,0.00040757,0.0
8426.0,0.0038616,0.0
8504.0,0.00086474,0.0
8582.0,-0.0211285,0.0
8660.0,-0.02691895,0.0
8738.0,-0.01056359,0.0
8817.0,-0.01731913,0.0
8895.0,-0.03611245,0.0
8973.0,-0.01599848,0.0
9051.0,-0.02382056,0.0
9129.0,-0.01853811,0.0
9207.0,-0.01173195,0.0
9285.0,-0.01279849,0.0
9363.0,0.00243935,0.0
9441.0,0.00091558,0.0
9520.0,0.01432484,0.0
9598.0,0.0108202,0.0
9676.0,0.0297658,0.0
9754.0,0.02661665,0.0
9832.0,0.05104799,0.0
9910.0,0.02991824,0.0
9988.0,0.02260401,0.0
10066.0,0.01346143,0.0
10145.0,-0.00106529,0.0
10223.0,0.00868682,0.0
10301.0,-0.01914763,0.0
10379.0,-0.0429186,0.0
10457.0,-0.02620783,0.0
10535.0,-0.01645564,0.0
10613.0,-0.03524896,0.0
10691.0,-0.02483634,0.0
10769.0,-0.02732528,0.0
10847.0,0.00086474,0.0
10926.0,-0.02341416,0.0
11004.0,0.00873758,0.0
11082.0,0.00746777,0.0
11160.0,0.02941032,0.0
11238.0,0.02204532,0.0
11316.0,0.04104184,0.0
11394.0,0.04779731,0.0
11472.0,0.01615334,0.0
11551.0,0.00523287,0.0
11629.0,-0.00269082,0.0
11707.0,0.01605182,0.0
11785.0,-0.01381441,0.0
11863.0,0.00701068,0.0
11941.0,-0.01203667,0.0
12019.0,-0.01350961,0.0
12097.0,-0.03601085,0.0
12176.0,-0.03184585,0.0
12254.0,-0.02686811,0.0
12332.0,-0.02798564,0.0
12410.0,-0.03590925,0.0
12488.0,-0.01386518,0.0
12566.0,-0.00792243,0.0
12644.0,-0.00167489,0.0
12722.0,-0.01269696,0.0
12800.0,-0.00010028,0.0
12879.0,-0.00319867,0.0
12957.0,0.00675664,0.0
13035.0,0.01417248,0.0
13113.0,0.00675664,0.0
13191.0,0.02199456,0.0
13269.0,0.00172823,0.0
13347.0,0.01422324,0.0
13425.0,0.00299812,0.0
13504.0,0.01051532,0.0
13582.0,0.00894086,0.0
13660.0,-0.00223365,0.0
13738.0,0.00259164,0.0
13816.0,-0.00157329,0.0
13894.0,-0.00172565,0.0
13972.0,0.00370909,0.0
14050.0,-0.00624622,0.0
14128.0,-0.02056981,0.0
14206.0,-0.02204282,0.0
14285.0,0.00076314,0.0
14363.0,0.00645192,0.0
14441.0,-0.01137639,0.0
14519.0,0.00828057,0.0
14597.0,0.01071852,0.0
14675.0,-0.01081762,0.0
14753.0,0.01869304,0.0
14831.0,0.02382306,0.0
14910.0,0.00182975,0.0
14988.0,0.0253976,0.0
15066.0,0.02834363,0.0
15144.0,0.01330899,0.0
15222.0,-0.01036054,0.0
