Time,Load Cell,Moving Forward
928.0,-0.01015734,1.0
1006.0,0.00421717,1.0
1084.0,-0.01701433,1.0
1162.0,-0.01137639,1.0
1240.0,-0.0010146,1.0
1318.0,0.00716304,1.0
1396.0,0.00452189,1.0
1474.0,0.0126487,1.0
1552.0,-0.00243678,1.0
1631.0,-0.01767469,1.0
1709.0,-0.00644949,1.0
1787.0,-0.0297633,1.0
1865.0,-0.00131933,1.0
1943.0,-0.00162405,1.0
2021.0,0.00335353,1.0
2099.0,0.00518218,1.0
2177.0,0.00563927,1.0
2256.0,-0.00639866,1.0
2334.0,0.00868682,1.0
2412.0,-0.00777007,1.0
2490.0,-0.00650018,1.0
2568.0,0.00249011,1.0
2646.0,-0.01625244,1.0
2724.0,0.01071852,1.0
2802.0,0.01554389,1.0
2880.0,-0.00375743,1.0
2959.0,0.03555626,1.0
3037.0,0.01026144,1.0
3115.0,-0.00553517,1.0
3193.0,-0.00492564,1.0
3271.0,0.00447098,1.0
3349.0,-0.00106529,1.0
3427.0,-0.00451932,1.0
3505.0,-0.03306489,1.0
3583.0,-0.01452546,1.0
3662.0,-0.00457015,1.0
3740.0,-0.01564291,1.0
3818.0,0.00076314,1.0
3896.0,0.00208379,1.0
3974.0,-4.951e-05,1.0
4052.0,-0.00340187,1.0
4130.0,-0.0145763,1.0
4208.0,-0.00812556,1.0
4287.0,-0.01173195,1.0
4365.0,0.00015361,1.0
4443.0,0.00436938,1.0
4521.0,0.00030597,1.0
4599.0,0.00218531,1.0
4677.0,-0.00360499,1.0
4755.0,0.00553774,1.0
4833.0,-0.01036054,1.0
4911.0,0.01391844,1.0
4990.0,-0.00319867,1.0
5068.0,-0.00832868,1.0
5146.0,0.01015983,1.0
5224.0,-0.01615077,1.0
5302.0,-0.0236682,1.0
5380.0,-0.01020802,1.0
5458.0,-0.0076684,1.0
5536.0,0.01975966,1.0
5614.0,0.00203295,1.0
5692.0,0.01569625,1.0
5771.0,0.02499135,1.0
5849.0,-0.00609393,1.0
5927.0,0.00883926,1.0
6005.0,0.00492814,1.0
6083.0,-0.02001112,1.0
6161.0,0.01391844,1.0
6239.0,-0.00665269,1.0
6318.0,0.01889617,1.0
6396.0,-0.000913,1.0
6474.0,-0.000405,1.0
6552.0,-0.00538273,1.0
6630.0,-0.00716047,1.0
6708.0,0.00401389,1.0
6786.0,0.0036584,1.0
6864.0,-0.02473481,1.0
