Time,Load Cell,Moving Forward,Relay Output
840.0,0.00726464,0.0,3.784
904.0,-0.01503347,0.0,2.064
982.0,0.00792501,0.0,2.064
1060.0,-0.02869662,0.0,2.064
1138.0,-0.00716047,0.0,2.064
1216.0,-0.00502717,0.0,2.064
1294.0,-0.00705895,0.0,2.064
1372.0,-0.01183347,0.0,2.064
1450.0,-0.00792243,0.0,2.064
1528.0,-0.00975101,0.0,3.44
1607.0,0.01219154,0.0,1.72
1685.0,-0.00299554,0.0,2.064
1763.0,0.01173437,0.0,1.72
1841.0,-0.00614462,0.0,1.72
1919.0,0.00157586,0.0,2.064
1997.0,0.00106786,0.0,2.064
2075.0,0.00843278,0.0,2.064
2153.0,-0.00680491,0.0,2.064
2232.0,0.00650276,0.0,2.064
2310.0,-0.01523659,0.0,2.064
2388.0,-0.01157951,0.0,1.72
2466.0,-0.01615077,0.0,2.064
2544.0,0.0012203,0.0,2.064
2622.0,-0.00462084,0.0,2.408
2700.0,-0.01264613,0.0,2.064
2778.0,-0.01264613,0.0,2.064
2856.0,0.00284568,0.0,1.376
2935.0,-0.00736367,0.0,2.064
3013.0,0.00152503,0.0,2.064
3091.0,0.00777249,0.0,1.72
3169.0,-0.0107161,0.0,2.064
3247.0,-0.02646186,0.0,2.752
3325.0,1.25e-06,0.0,2.064
3403.0,-0.00340187,0.0,2.064
3481.0,-0.00416368,0.0,2.064
3559.0,-0.00015111,0.0,3.096
3638.0,0.01950569,0.0,1.72
3716.0,0.00802653,0.0,1.376
3794.0,-0.0213317,0.0,2.064
3872.0,-0.01157951,0.0,3.44
3950.0,0.00609636,0.0,2.064
4028.0,-0.00025271,0.0,2.064
4106.0,0.02697221,0.0,2.064
4184.0,0.0125471,0.0,2.064
4262.0,-0.00096376,0.0,2.064
4341.0,0.01635654,0.0,2.064
4419.0,-0.02316027,0.0,2.752
4497.0,-0.0141699,0.0,2.064
4575.0,0.00238851,0.0,2.064
4653.0,-0.01574452,0.0,2.064
4731.0,-0.02229678,0.0,1.72
4809.0,-0.00228434,0.0,2.064
4887.0,0.00518218,0.0,1.72
4966.0,0.00375993,0.0,1.72
