Time,Load Cell,Moving Forward,Relay Output
851.0,0.00039898,0.0,3.096
929.0,-0.02189898,0.0,1.376
1007.0,-0.04424778,0.0,2.064
1085.0,-0.00208981,0.0,2.064
1163.0,-0.00630558,0.0,1.376
1241.0,-0.02093397,0.0,2.064
1319.0,-0.01041982,0.0,2.064
1397.0,-0.0180387,0.0,1.72
1476.0,0.00425926,0.0,1.72
1554.0,0.00171963,0.0,2.064
1632.0,0.00690049,0.0,2.408
1710.0,0.006545,0.0,1.72
1788.0,0.01446868,0.0,1.72
1866.0,0.00730696,0.0,2.064
1944.0,-0.00554376,0.0,2.064
2022.0,0.00796725,0.0,2.064
2101.0,0.02279869,0.0,2.408
2179.0,0.00766237,0.0,2.064
2257.0,0.00227832,0.0,1.72
2335.0,-0.01001342,0.0,2.064
2413.0,0.00618943,0.0,2.064
2491.0,-0.00173425,0.0,1.72
2569.0,0.00217679,0.0,2.064
2647.0,0.00806877,0.0,2.408
2725.0,-0.01387377,0.0,2.064
2804.0,-0.00188661,0.0,1.376
2882.0,-0.01097858,0.0,2.064
2960.0,-0.02007048,0.0,1.376
3038.0,0.00740849,0.0,1.72
3116.0,-0.01666729,0.0,1.72
3194.0,0.01843056,0.0,2.064
3272.0,-0.00148021,0.0,1.72
3350.0,0.02056379,0.0,2.064
3428.0,-0.00188661,0.0,1.72
3507.0,-0.004477,0.0,2.064
3585.0,-0.00081992,0.0,2.064
3663.0,-0.01519435,0.0,2.064
3741.0,0.00202451,0.0,2.408
3819.0,0.00745925,0.0,2.064
3897.0,-0.00803255,0.0,3.44
3975.0,-0.00137861,0.0,2.064
4053.0,-0.00432471,0.0,1.72
4132.0,0.02792878,0.0,2.064
4210.0,-0.01321341,0.0,2.408
4288.0,-0.00528973,0.0,2.064
4366.0,0.00832266,0.0,3.44
4444.0,-0.01910539,0.0,2.064
4522.0,-0.0121468,0.0,2.408
4600.0,0.00395453,0.0,2.064
4678.0,0.00938943,0.0,2.064
4756.0,0.01741471,0.0,2.064
4835.0,0.0069514,0.0,2.064
4913.0,-0.01204512,0.0,2.064
4991.0,-0.01463559,0.0,2.064
5069.0,0.0063418,0.0,2.064
5147.0,-0.00579765,0.0,2.064
5225.0,0.0014149,0.0,2.064
5303.0,-0.00320719,0.0,2.064
5381.0,-0.00686434,0.0,1.72
5459.0,-0.00132792,0.0,2.064
5538.0,0.01121785,0.0,2.064
5616.0,0.0126401,0.0,2.064
5694.0,0.00842434,0.0,2.064
5772.0,0.00090698,0.0,1.72
5850.0,0.0061386,0.0,2.064
5928.0,0.01111633,0.0,2.064
6006.0,0.01904001,0.0,2.064
6084.0,0.01457028,0.0,2.064
6162.0,0.01192905,0.0,2.064
6241.0,0.00471642,0.0,2.064
6319.0,0.01782096,0.0,2.408
6397.0,0.00751001,0.0,2.064
6475.0,0.01731311,0.0,1.376
6553.0,-0.00513736,0.0,2.064
6631.0,-0.01656569,0.0,1.376
6709.0,0.01782096,0.0,1.72
6788.0,0.01228454,0.0,1.72
6866.0,0.00491962,0.0,2.064
6944.0,-0.0070167,0.0,1.376
7022.0,-0.00442624,0.0,2.064
7100.0,-0.0066103,0.0,1.376
7178.0,-0.00239454,0.0,2.064
7256.0,0.02178284,0.0,1.376
7334.0,0.00319264,0.0,2.064
7412.0,-0.01458475,0.0,2.064
7490.0,0.00116102,0.0,2.064
7569.0,-0.00960717,0.0,2.064
7647.0,-0.00087076,0.0,2.064
7725.0,0.02163048,0.0,3.096
7803.0,0.01396068,0.0,2.064
7881.0,0.03173822,0.0,2.408
7959.0,-0.01377217,0.0,1.72
8037.0,0.00090698,0.0,2.752
8115.0,0.00466566,0.0,2.064
8194.0,0.00466566,0.0,2.408
8272.0,0.00806877,0.0,2.064
8350.0,0.00024669,0.0,2.408
8428.0,0.00151651,0.0,1.72
8506.0,0.00817037,0.0,1.376
8584.0,0.0061386,0.0,2.064
8662.0,-0.0066103,0.0,1.72
8740.0,0.00065302,0.0,2.064
8818.0,-0.00361359,0.0,1.72
8896.0,-0.01062294,0.0,2.408
8975.0,0.00283708,0.0,3.096
9053.0,-0.01031814,0.0,2.064
9131.0,0.02610028,0.0,2.408
9209.0,0.01670351,0.0,1.72
9287.0,0.01898932,0.0,2.064
9365.0,0.00390385,0.0,2.064
9443.0,0.01507821,0.0,2.752
9521.0,0.02183367,0.0,2.064
9600.0,-0.01219748,0.0,1.72
9678.0,0.006545,0.0,1.72
9756.0,-0.00655954,0.0,1.72
9834.0,0.00771321,0.0,1.72
9912.0,-0.01092775,0.0,2.408
9990.0,-0.01549907,0.0,1.72
10068.0,0.00304028,0.0,1.72
10146.0,0.00309104,0.0,1.72
10224.0,0.02173215,0.0,2.752
10303.0,-0.00889604,0.0,1.72
10381.0,-0.00432471,0.0,1.72
10459.0,0.00781481,0.0,2.064
10537.0,0.00202451,0.0,2.408
10615.0,-0.00280086,0.0,1.72
10693.0,0.00359897,0.0,1.72
10771.0,-0.00132792,0.0,1.72
10849.0,0.00491962,0.0,1.72
10927.0,0.00928783,0.0,1.72
11006.0,0.00684972,0.0,1.72
11084.0,0.00354828,0.0,1.72
11162.0,0.01695755,0.0,1.72
11240.0,0.00359897,0.0,1.72
11318.0,-0.00142952,0.0,1.72
11396.0,-0.00478173,0.0,1.72
11474.0,0.00563067,0.0,1.72
11553.0,0.00725612,0.0,2.064
11631.0,0.01660198,0.0,1.72
11709.0,-0.000312,0.0,2.064
11787.0,0.00217679,0.0,1.72
11865.0,0.01614475,0.0,2.064
11943.0,0.00842434,0.0,1.72
12021.0,0.00928783,0.0,2.064
12099.0,0.01863368,0.0,2.064
12177.0,0.01644962,0.0,1.72
12255.0,-0.00610238,0.0,1.72
12334.0,0.00177047,0.0,2.064
12412.0,-0.01687056,0.0,2.064
12490.0,0.00304028,0.0,2.064
12568.0,-0.01240068,0.0,2.064
12646.0,-0.0163118,0.0,2.064
12724.0,0.00659576,0.0,2.064
12802.0,-0.00346115,0.0,2.064
12880.0,-0.01092775,0.0,2.064
12958.0,0.00552915,0.0,2.064
13037.0,0.00766237,0.0,1.72
13115.0,0.01253858,0.0,2.064
13193.0,0.00354828,0.0,1.72
13271.0,0.00166887,0.0,2.064
13349.0,0.00710376,0.0,2.064
13427.0,-0.00026131,0.0,1.376
13505.0,0.00852594,0.0,2.064
13584.0,0.02518595,0.0,2.064
13662.0,-0.00904841,0.0,2.064
13740.0,0.01086229,0.0,2.064
13818.0,-0.01494031,0.0,2.064
13896.0,0.0051229,0.0,2.064
13974.0,0.00806877,0.0,2.064
14052.0,0.01690671,0.0,2.064
14130.0,-0.00071832,0.0,1.72
14208.0,-0.01316265,0.0,2.064
14286.0,-0.00259766,0.0,1.72
14365.0,-0.00320719,0.0,2.064
14443.0,-0.00706754,0.0,2.064
14521.0,0.00126254,0.0,2.064
14599.0,0.00781481,0.0,2.064
14677.0,-0.00915001,0.0,2.064
14755.0,-0.00422319,0.0,2.064
14833.0,0.00359897,0.0,2.064
14911.0,-0.01128323,0.0,2.064
14989.0,-0.01265472,0.0,1.72
15068.0,0.00039898,0.0,2.064
15146.0,0.00019585,0.0,2.064
15224.0,0.01975114,0.0,2.064
15302.0,0.01538293,0.0,2.064
15380.0,0.00060225,0.0,1.72
15458.0,0.00364981,0.0,2.064
15536.0,0.01172593,0.0,2.064
15615.0,-0.00315642,0.0,2.064
15693.0,0.01121785,0.0,1.72
15771.0,-0.01133407,0.0,2.064
15849.0,0.01604322,0.0,2.064
15927.0,0.00801794,0.0,2.064
16005.0,0.02086851,0.0,2.064
16083.0,0.01817652,0.0,2.064
16161.0,0.00273548,0.0,2.064
16239.0,0.00400537,0.0,1.72
16318.0,0.0087799,0.0,1.72
16396.0,0.03128106,0.0,2.064
16474.0,0.01457028,0.0,2.752
16552.0,-0.00117548,0.0,1.72
16630.0,0.03859522,0.0,2.064
16708.0,-0.00087076,0.0,2.064
16786.0,0.00268479,0.0,1.72
16864.0,0.02097019,0.0,2.064
16942.0,-0.00193737,0.0,2.064
17020.0,0.00476733,0.0,2.064
17099.0,-0.00026131,0.0,2.064
17177.0,0.00832266,0.0,2.064
17255.0,0.00055142,0.0,2.064
17333.0,-0.0122484,0.0,2.064
17411.0,-0.01422926,0.0,2.064
17489.0,0.01655122,0.0,2.064
17567.0,0.00395453,0.0,2.064
17645.0,-0.01011509,0.0,2.064
17724.0,0.01517973,0.0,2.064
17802.0,0.01208134,0.0,2.064
17880.0,-0.01280708,0.0,2.064
17958.0,0.00954171,0.0,1.72
18036.0,0.0124369,0.0,2.064
18114.0,0.00817037,0.0,2.064
18192.0,0.01218302,0.0,1.72
18270.0,0.00801794,0.0,2.064
18348.0,0.02833518,0.0,2.064
18427.0,-0.01788634,0.0,1.72
18505.0,-0.00630558,0.0,2.064
18583.0,0.00796725,0.0,2.064
18661.0,0.00547831,0.0,2.064
18739.0,0.01589093,0.0,1.72
18817.0,0.017567,0.0,1.72
18895.0,0.01253858,0.0,1.72
18973.0,0.01238622,0.0,2.064
19051.0,0.01467188,0.0,2.064
19130.0,0.03062077,0.0,2.064
19208.0,0.00537671,0.0,3.44
19286.0,0.02168124,0.0,3.096
19364.0,0.00705292,0.0,3.096
19442.0,0.01279254,0.0,3.096
19520.0,0.00893226,0.0,2.064
19598.0,0.00766237,0.0,2.752
19676.0,0.02330661,0.0,2.752
19754.0,0.02091935,0.0,2.752
19833.0,0.01441792,0.0,2.408
19911.0,0.01345283,0.0,2.408
19989.0,0.02234153,0.0,2.408
20067.0,0.00664667,0.0,2.408
20145.0,0.03148426,0.0,2.408
20223.0,0.01294483,0.0,2.064
20301.0,0.01010048,0.0,2.408
20380.0,0.02091935,0.0,2.408
20458.0,0.04646814,0.0,2.408
20536.0,0.00745925,0.0,2.408
20614.0,0.02249396,0.0,2.408
20692.0,0.01426541,0.0,2.408
20770.0,0.01563689,0.0,2.064
20848.0,0.01975114,0.0,2.408
20926.0,0.01589093,0.0,2.064
21004.0,0.02528748,0.0,2.064
21083.0,0.00293868,0.0,2.064
21161.0,0.00806877,0.0,2.408
21239.0,0.04006823,0.0,2.064
21317.0,0.02777642,0.0,2.064
21395.0,0.02300189,0.0,2.064
21473.0,0.02269716,0.0,2.064
21551.0,0.00248159,0.0,2.064
21629.0,0.02295105,0.0,2.064
21707.0,0.02249396,0.0,2.064
21785.0,0.02549068,0.0,1.72
21864.0,0.00898303,0.0,3.096
21942.0,0.01929405,0.0,2.752
22020.0,0.04382691,0.0,2.752
22098.0,0.02625264,0.0,2.752
22176.0,0.02782711,0.0,2.752
22254.0,0.00171963,0.0,2.752
22332.0,0.03097633,0.0,2.752
22411.0,0.00979575,0.0,2.752
22489.0,0.03250011,0.0,2.408
22567.0,0.04077936,0.0,2.408
22645.0,0.0174654,0.0,2.408
22723.0,0.02833518,0.0,2.408
22801.0,0.02625264,0.0,2.408
22879.0,0.03595399,0.0,2.408
22957.0,0.00862754,0.0,2.408
23035.0,0.01350359,0.0,2.408
23113.0,0.03067153,0.0,2.408
23192.0,0.01751623,0.0,2.064
23270.0,-0.00036283,0.0,2.064
23348.0,0.04601097,0.0,2.408
23426.0,0.02655737,0.0,2.064
23504.0,0.00903379,0.0,2.064
23582.0,0.03285575,0.0,2.064
23660.0,0.02874143,0.0,2.064
23738.0,0.01848132,0.0,2.064
23816.0,0.01512897,0.0,2.064
23895.0,0.02056379,0.0,2.064
23973.0,0.01274163,0.0,2.064
24051.0,0.02422094,0.0,2.064
24129.0,0.0012117,0.0,2.064
24207.0,0.02884303,0.0,2.064
24285.0,0.01924313,0.0,2.064
24363.0,0.03280484,0.0,2.064
24442.0,0.03006201,0.0,3.096
24520.0,0.02985896,0.0,3.44
24598.0,0.02071615,0.0,3.096
24676.0,0.04083012,0.0,3.096
24754.0,0.02848739,0.0,2.752
24832.0,0.02996048,0.0,3.096
24910.0,0.05474738,0.0,2.752
24988.0,0.02005586,0.0,2.752
25066.0,0.02046219,0.0,2.752
25144.0,0.0444872,0.0,2.408
25223.0,0.0427603,0.0,2.752
25301.0,0.03448105,0.0,2.408
25379.0,0.00776405,0.0,2.408
25457.0,0.02554152,0.0,2.408
25535.0,0.0198019,0.0,2.408
25613.0,0.0381382,0.0,2.408
25691.0,0.0505823,0.0,2.064
25769.0,0.03829049,0.0,2.752
25847.0,0.00761169,0.0,2.064
25926.0,0.03834125,0.0,2.064
26004.0,0.01614475,0.0,2.752
26082.0,0.0238653,0.0,2.408
