Time,Load Cell,Moving Forward,Relay Output
933.0,0.02219768,0.0,3.784
983.0,0.03159438,0.0,2.064
1061.0,0.0370292,0.0,2.064
1139.0,0.03758788,0.0,2.064
1217.0,0.02854683,0.0,1.376
1296.0,0.0370292,0.0,2.064
1374.0,0.01066776,0.0,1.72
1452.0,0.03738476,0.0,2.064
1530.0,0.03321976,0.0,2.408
1608.0,0.04911796,0.0,3.096
1686.0,0.02585484,0.0,2.064
1764.0,0.0146804,0.0,2.064
1842.0,0.03906098,0.0,2.064
1920.0,0.01823588,0.0,2.064
1999.0,0.02631192,0.0,2.064
2077.0,0.01610258,0.0,1.376
2155.0,0.03276259,0.0,2.408
2233.0,0.01696607,0.0,2.064
2311.0,0.02524524,0.0,2.064
2389.0,0.02285797,0.0,2.064
2467.0,0.03601342,0.0,2.064
2546.0,0.03443881,0.0,2.064
2623.0,0.03621655,0.0,2.408
2702.0,0.0369276,0.0,2.064
2780.0,0.03073097,0.0,2.752
2858.0,0.05013366,0.0,2.064
2936.0,0.02834363,0.0,1.72
3014.0,0.02448335,0.0,3.096
3092.0,0.0413974,0.0,1.376
3170.0,0.02930872,0.0,2.408
3249.0,0.02260401,0.0,2.064
3327.0,0.03266107,0.0,1.72
3405.0,0.02026766,0.0,2.064
3483.0,0.0392641,0.0,2.408
3561.0,0.01884541,0.0,2.408
3639.0,0.03494666,0.0,2.752
3717.0,0.03195002,0.0,2.064
3795.0,0.0510989,0.0,2.408
3873.0,0.02514364,0.0,2.408
3952.0,0.02229928,0.0,2.064
4030.0,0.03911166,0.0,2.064
4108.0,0.03479437,0.0,1.376
4186.0,0.02996908,0.0,2.064
4264.0,0.03169598,0.0,2.408
4342.0,0.0253976,0.0,2.064
4420.0,0.03433721,0.0,2.064
4498.0,0.04805127,0.0,2.064
4576.0,0.02808974,0.0,2.064
4655.0,0.03484513,0.0,2.064
4733.0,0.01595022,0.0,2.064
4811.0,0.03164514,0.0,2.408
4889.0,0.0297658,0.0,2.064
4967.0,0.0214358,0.0,2.408
5045.0,0.01650898,0.0,2.064
5123.0,0.02636269,0.0,1.72
5201.0,0.02280729,0.0,2.064
5280.0,0.02595636,0.0,2.064
5357.0,0.04190533,0.0,2.064
5436.0,0.04180373,0.0,1.72
5514.0,0.03032449,0.0,2.064
5592.0,0.04530844,0.0,2.064
5670.0,0.03413408,0.0,2.064
5748.0,0.02748014,0.0,2.064
5826.0,0.0391625,0.0,2.064
5904.0,0.03834977,0.0,2.064
5982.0,0.03454033,0.0,2.408
6061.0,0.01818512,0.0,1.72
6139.0,-0.00157329,0.0,2.064
6217.0,0.0149852,0.0,2.064
6295.0,0.03621655,0.0,1.376
6373.0,0.0183374,0.0,2.408
6451.0,0.02829286,0.0,2.064
6529.0,0.01808359,0.0,2.064
6607.0,0.02681985,0.0,2.064
6686.0,0.03723247,0.0,2.064
6764.0,0.02509287,0.0,2.064
6842.0,0.037334,0.0,2.064
6920.0,0.02036918,0.0,2.408
6998.0,0.01036303,0.0,1.72
7076.0,0.03728316,0.0,2.064
7154.0,0.01788032,0.0,2.064
7232.0,0.02382306,0.0,2.064
7310.0,0.02072475,0.0,2.064
7389.0,0.0298674,0.0,2.064
7467.0,0.02473731,0.0,1.376
7545.0,0.0261088,0.0,2.064
7623.0,0.02590553,0.0,2.064
7701.0,0.02758166,0.0,2.064
7779.0,0.03662287,0.0,2.064
7857.0,0.03545466,0.0,2.064
7935.0,0.03240703,0.0,1.72
8013.0,0.02443259,0.0,3.096
8092.0,0.04028003,0.0,2.064
8170.0,0.02702305,0.0,3.096
8248.0,0.03037533,0.0,2.064
8326.0,0.02534691,0.0,2.064
8404.0,0.03662287,0.0,1.72
8482.0,0.02819126,0.0,1.72
8560.0,0.03174675,0.0,2.064
8638.0,0.02179143,0.0,1.376
8716.0,0.02961352,0.0,2.064
8795.0,0.0261088,0.0,2.408
8873.0,0.02509287,0.0,2.064
8951.0,0.04236242,0.0,2.064
9029.0,0.03337212,0.0,2.064
9107.0,0.01996278,0.0,2.064
9185.0,0.02712458,0.0,1.376
9263.0,0.02910544,0.0,2.064
9342.0,0.01513749,0.0,2.408
9419.0,0.02951192,0.0,2.408
9498.0,0.02656581,0.0,2.064
9576.0,0.02707389,0.0,2.064
9654.0,0.03448957,0.0,1.376
9732.0,0.02671833,0.0,2.064
9810.0,0.02697221,0.0,2.064
9888.0,0.03382928,0.0,2.064
9966.0,0.02875003,0.0,2.064
10044.0,0.04718778,0.0,2.408
10123.0,0.03225474,0.0,2.408
10201.0,0.04485128,0.0,2.408
10279.0,0.02753098,0.0,2.408
10357.0,0.03738476,0.0,2.408
10435.0,0.01615334,0.0,2.408
10513.0,0.03514986,0.0,2.408
10591.0,0.03697843,0.0,2.064
10669.0,0.04408939,0.0,2.408
10747.0,0.03195002,0.0,2.752
10826.0,0.03855305,0.0,2.408
10904.0,0.01909937,0.0,2.408
10982.0,0.04241318,0.0,2.064
11060.0,0.01224237,0.0,2.064
11138.0,0.04134656,0.0,2.064
11216.0,0.04485128,0.0,2.064
11294.0,0.03037533,0.0,2.064
11373.0,0.03250856,0.0,2.408
11451.0,0.01148049,0.0,2.064
11529.0,0.04327674,0.0,2.408
11607.0,0.03261031,0.0,2.408
11685.0,0.02905475,0.0,1.72
11763.0,0.01864213,0.0,2.064
11841.0,0.03570855,0.0,2.064
11919.0,0.05688921,0.0,2.064
11997.0,0.01655967,0.0,2.408
12076.0,0.03210231,0.0,2.064
12154.0,0.02707389,0.0,2.064
12232.0,0.02158823,0.0,2.064
12310.0,0.02260401,0.0,2.064
