1.5849,85269,0.00058877,50.204,54.204
1.9953,97041,0.00051736,50.205,54.205
2.5119,1.1044e+05,0.00045461,50.207,54.207
3.1623,1.2569e+05,0.00039947,50.208,54.208
3.9811,1.4304e+05,0.00035101,50.209,54.209
5.0119,1.6279e+05,0.00030844,50.21,54.21
6.3096,1.8527e+05,0.00027102,50.211,54.211
7.9433,2.1085e+05,0.00023815,50.212,54.212
10,2.3996e+05,0.00020926,50.213,54.213
12.589,2.7309e+05,0.00018387,50.214,54.214
15.849,3.1079e+05,0.00016157,50.214,54.214
19.953,3.537e+05,0.00014197,50.215,54.215
25.119,4.0254e+05,0.00012475,50.215,54.215
31.623,4.5812e+05,0.00010961,50.215,54.215
39.811,5.2137e+05,9.6315e-05,50.216,54.216
50.119,5.9335e+05,8.4631e-05,50.216,54.216
63.096,6.7528e+05,7.4364e-05,50.216,54.216
79.433,7.6851e+05,6.5343e-05,50.217,54.217
100,8.7462e+05,5.7416e-05,50.217,54.217
